"","Respondent","Choice","Option","ChoiceMade","Chosen","Policy","Experience","Party_Affiliation","Gender"
"1",1,1,"A",1,"A","Healthcare Reform","Experienced","Party B","Male"
"2",1,1,"B",0,"A","Tax Cuts","Veteran","Party A","Male"
"3",1,2,"A",1,"A","Tax Cuts","Newcomer","Party A","Male"
"4",1,2,"B",0,"A","Climate Change Action","Experienced","Party A","Male"
"5",1,3,"A",0,"B","Tax Cuts","Experienced","Party A","Female"
"6",1,3,"B",1,"B","Tax Cuts","Veteran","Party B","Male"
"7",1,4,"A",1,"A","Tax Cuts","Experienced","Party B","Female"
"8",1,4,"B",0,"A","Tax Cuts","Experienced","Party B","Male"
"9",1,5,"A",0,"B","Healthcare Reform","Veteran","Party A","Male"
"10",1,5,"B",1,"B","Healthcare Reform","Experienced","Party B","Male"
"11",1,6,"A",0,"B","Tax Cuts","Veteran","Party A","Male"
"12",1,6,"B",1,"B","Tax Cuts","Newcomer","Party B","Male"
"13",1,7,"A",1,"A","Tax Cuts","Veteran","Party B","Male"
"14",1,7,"B",0,"A","Healthcare Reform","Veteran","Party A","Male"
"15",1,8,"A",1,"A","Healthcare Reform","Newcomer","Party A","Female"
"16",1,8,"B",0,"A","Climate Change Action","Experienced","Party B","Male"
"17",1,9,"A",1,"A","Tax Cuts","Experienced","Party B","Male"
"18",1,9,"B",0,"A","Tax Cuts","Veteran","Party A","Female"
"19",1,10,"A",0,"B","Climate Change Action","Veteran","Party A","Female"
"20",1,10,"B",1,"B","Tax Cuts","Veteran","Party B","Male"
"21",2,1,"A",1,"A","Climate Change Action","Experienced","Party B","Female"
"22",2,1,"B",0,"A","Climate Change Action","Veteran","Party B","Male"
"23",2,2,"A",0,"B","Tax Cuts","Newcomer","Party A","Female"
"24",2,2,"B",1,"B","Climate Change Action","Veteran","Party A","Female"
"25",2,3,"A",1,"A","Healthcare Reform","Newcomer","Party B","Male"
"26",2,3,"B",0,"A","Climate Change Action","Veteran","Party A","Male"
"27",2,4,"A",1,"A","Healthcare Reform","Experienced","Party B","Female"
"28",2,4,"B",0,"A","Healthcare Reform","Newcomer","Party A","Female"
"29",2,5,"A",1,"A","Climate Change Action","Veteran","Party B","Male"
"30",2,5,"B",0,"A","Healthcare Reform","Newcomer","Party B","Female"
"31",2,6,"A",1,"A","Climate Change Action","Newcomer","Party A","Female"
"32",2,6,"B",0,"A","Tax Cuts","Newcomer","Party B","Female"
"33",2,7,"A",0,"B","Climate Change Action","Veteran","Party B","Female"
"34",2,7,"B",1,"B","Tax Cuts","Newcomer","Party A","Female"
"35",2,8,"A",1,"A","Tax Cuts","Experienced","Party A","Female"
"36",2,8,"B",0,"A","Tax Cuts","Experienced","Party A","Male"
"37",2,9,"A",0,"B","Tax Cuts","Newcomer","Party A","Male"
"38",2,9,"B",1,"B","Climate Change Action","Veteran","Party B","Male"
